id,title,credits,raw_required,category,group,courseType
FL-24N,アラビア語(2a),1.0,,外国語科目,共通分野,elective
FL-24O,アラビア語(2b),1.0,,外国語科目,共通分野,elective
FL-24P,韓国語(1a),1.0,,外国語科目,共通分野,elective
FL-24Q,韓国語(1b),1.0,,外国語科目,共通分野,elective
FL-24R,韓国語(2a),1.0,,外国語科目,共通分野,elective
FL-24S,韓国語(2b),1.0,,外国語科目,共通分野,elective
FL-24T,日本語表現(a),1.0,,外国語科目,共通分野,elective
FL-24U,日本語表現(b),1.0,,外国語科目,共通分野,elective
FL-311,Test Taking Skills(3a),1.0,,外国語科目,共通分野,elective
FL-312,Test Taking Skills(3b),1.0,,外国語科目,共通分野,elective
FL-313,Critical Reading(3a),1.0,,外国語科目,共通分野,elective
FL-314,英,1.0,,外国語科目,共通分野,elective
FL-315,キ,1.0,,外国語科目,共通分野,elective
FL-316,ル,1.0,,外国語科目,共通分野,elective
FL-317,Communication Strategies(3a),1.0,,外国語科目,共通分野,elective
FL-318,Communication Strategies(3b),1.0,,外国語科目,共通分野,elective
FL-319,Academic English(3a),1.0,,外国語科目,共通分野,elective
FL-31A,Academic English(3b),1.0,,外国語科目,共通分野,elective
FL-931,海外・特別選抜セミナー,2.0,,外国語科目,共通分野,elective
FL-932,外国語特別講義(1a),1.0,,外国語科目,共通分野,elective
FL-933,外国語特別講義(1b),1.0,,外国語科目,共通分野,elective
FL-934,外国語特別講義(2a),1.0,,外国語科目,共通分野,elective
FL-935,外国語特別講義(2b),1.0,,外国語科目,共通分野,elective
SE-111,微分積分学(1a),1.0,※MS ○,理工学基礎科目,数学系,required
SE-112,微分積分学(1b),1.0,※MS ○,理工学基礎科目,数学系,required
SE-113,線形代数学(1a),1.0,※MS ○,理工学基礎科目,数学系,required
SE-114,線形代数学(1b),1.0,※MS ○,理工学基礎科目,数学系,required
SE-121,物理学及び演習(1),3.0,△2,理工学基礎科目,自然科学系,elective-required
SE-122,物理学及び演習(2),3.0,△2,理工学基礎科目,自然科学系,elective-required
SE-123,物理学実験(a),1.0,○,理工学基礎科目,自然科学系,required
SE-124,物理学実験(b),1.0,○,理工学基礎科目,自然科学系,required
SE-125,化学(1),2.0,,理工学基礎科目,自然科学系,elective
SE-126,化学実験,2.0,,理工学基礎科目,自然科学系,elective
SE-127,生物学(1),2.0,,理工学基礎科目,自然科学系,elective
SE-128,生物学実験(a),1.0,,理工学基礎科目,自然科学系,elective
SE-129,生物学実験(b),1.0,,理工学基礎科目,自然科学系,elective
SE-12A,地学(1),2.0,,理工学基礎科目,自然科学系,elective
SE-12B,地学実験(a),1.0,,理工学基礎科目,自然科学系,elective
SE-12C,地学実験(b),1.0,,理工学基礎科目,自然科学系,elective
SE-131,情報リテラシー演習(a),1.0,○,理工学基礎科目,情報系,required
SE-132,情報リテラシー演習(b),1.0,○,理工学基礎科目,情報系,required
SE-133,情報処理入門,2.0,,理工学基礎科目,情報系,elective
SE-141,未来を拓くイノベーション,2.0,,理工学基礎科目,理工学教養系,elective
SE-211,微分積分学(2a),1.0,※MS ○,理工学基礎科目,数学系,required
SE-212,微分積分学(2b),1.0,※MS ○,理工学基礎科目,数学系,required
SE-213,線形代数学(2a),1.0,※MS ○,理工学基礎科目,数学系,required
SE-214,線形代数学(2b),1.0,※MS ○,理工学基礎科目,数学系,required
SE-221,物理学(3),2.0,△2,理工学基礎科目,自然科学系,elective-required
SE-222,物理学(4),2.0,△2,理工学基礎科目,自然科学系,elective-required
SE-223,電磁気学基礎,2.0,△2,理工学基礎科目,自然科学系,elective-required
SE-224,化学(2),2.0,,理工学基礎科目,自然科学系,elective
SE-225,生物学(2),2.0,,理工学基礎科目,自然科学系,elective
SE-226,地学(2),2.0,,理工学基礎科目,自然科学系,elective
SE-231,コンピュータ概論(a),1.0,,理工学基礎科目,情報系,elective
SE-232,コンピュータ概論(b),1.0,,理工学基礎科目,情報系,elective
SE-233,プログラミング基礎(a),1.0,,理工学基礎科目,情報系,elective
SE-234,プログラミング基礎(b),1.0,,理工学基礎科目,情報系,elective
SE-235,AI・ビッグデータ基礎,1.0,,理工学基礎科目,情報系,elective
SE-236,情報処理基礎,2.0,,理工学基礎科目,情報系,elective
SE-241,技術者倫理,2.0,○,理工学基礎科目,理工学教養系,required
SE-311,微分方程式論,2.0,△1,理工学基礎科目,数学系,elective-required
SE-312,ベクトル解析学,2.0,△1,理工学基礎科目,数学系,elective-required
SE-313,フーリエ解析学,2.0,△1,理工学基礎科目,数学系,elective-required
SE-314,数理統計学(a),1.0,※MS △1,理工学基礎科目,数学系,elective-required
SE-315,数理統計学(b),1.0,※MS △1,理工学基礎科目,数学系,elective-required
SE-316,代数学,2.0,,理工学基礎科目,数学系,elective
SE-321,上級力学,2.0,△2,理工学基礎科目,自然科学系,elective-required
SE-331,数値解析,2.0,,理工学基礎科目,情報系,elective
SE-332,AI・ビッグデータ応用,1.0,,理工学基礎科目,情報系,elective
SE-333,情報処理応用,2.0,,理工学基礎科目,情報系,elective
SE-341,金属加工(実習含),2.0,,理工学基礎科目,理工学教養系,elective
SE-342,電気工学概論(実習含),2.0,,理工学基礎科目,理工学教養系,elective
SE-941,インターンシップ(1),1.0,,理工学基礎科目,理工学教養系,elective
SE-942,インターンシップ(2),1.0,,理工学基礎科目,理工学教養系,elective
SE-943,海外体験実習(1),2.0,,理工学基礎科目,理工学教養系,elective
SE-944,海外体験実習(2),2.0,,理工学基礎科目,理工学教養系,elective
SE-945,SD PBL(1),1.0,○,理工学基礎科目,理工学教養系,required
SE-946,SD PBL(2),1.0,○,理工学基礎科目,理工学教養系,required
SE-947,SD PBL(3),1.0,○,理工学基礎科目,理工学教養系,required
HP-101,ことづくり,1.0,,専門科目,ひらめきことづくり,elective
HP-201,く,2.0,,専門科目,ひらめきことづくり,elective
HP-301,サステナビリティ,2.0,,専門科目,ひらめきことづくり,elective
HP-901,デザインシンキング,2.0,,専門科目,ひらめきことづくり,elective
HP-902,アイデアソン演習,1.0,,専門科目,ひらめきことづくり,elective
HP-903,づ,1.0,,専門科目,ひらめきことづくり,elective
HP-904,ビジネスコンテスト演習,1.0,,専門科目,ひらめきことづくり,elective
HP-905,フィールドリサーチ,2.0,,専門科目,ひらめきことづくり,elective
MC-111,機械設計製図(a),1.0,○,専門科目,学科専門科目,required
MC-112,機械工作実習(a),1.0,○,専門科目,学科専門科目,required
MC-171,機械工作概論,2.0,,専門科目,学科専門科目,elective
MC-211,機械設計製図(b),1.0,○,専門科目,学科専門科目,required
MC-212,機械工作実習(b),1.0,○,専門科目,学科専門科目,required
MC-221,機械力学(1)及び演習・実験,3.0,○,専門科目,学科専門科目,required
MC-222,機械,2.0,,専門科目,学科専門科目,elective
MC-231,材料,2.0,○,専門科目,学科専門科目,required
MC-241,流れ学及び演習・実験,3.0,○,専門科目,学科専門科目,required
MC-251,熱力学及び演習・実験,3.0,○,専門科目,学科専門科目,required
MC-252,伝熱工学,2.0,,専門科目,学科専門科目,elective
MC-261,機械材料学及び演習・実験,3.0,○,専門科目,学科専門科目,required
MC-262,材料学 材料評価,2.0,,専門科目,学科専門科目,elective
MC-271,加工学 機械要素設計及び演習,3.0,○,専門科目,学科専門科目,required
MC-311,創成設計演習,2.0,○,専門科目,学科専門科目,required
MC-312,事例研究,2.0,○,専門科目,学科専門科目,required
MC-321,力学,2.0,,専門科目,学科専門科目,elective
MC-322,制御工学(2),2.0,,専門科目,学科専門科目,elective
MC-331,力学,3.0,○,専門科目,学科専門科目,required
MC-341,流体力学(1),2.0,,専門科目,学科専門科目,elective
MC-342,流体力学(2),2.0,,専門科目,学科専門科目,elective
MC-351,内燃機関,2.0,,専門科目,学科専門科目,elective
MC-352,トライボロジー,2.0,,専門科目,学科専門科目,elective
MC-361,材料強度学,2.0,,専門科目,学科専門科目,elective
MC-371,材料加工学,2.0,,専門科目,学科専門科目,elective
MC-411,究関連 卒業研究(1),3.0,○,専門科目,学科専門科目,required
MC-412,卒業研究(2),3.0,○,専門科目,学科専門科目,required
MC-911,特別講義(1),2.0,,専門科目,学科専門科目,elective
MC-912,特別講義(2),2.0,,専門科目,学科専門科目,elective
MC-913,特別講義(3),2.0,,専門科目,学科専門科目,elective
SL-101,理工学と生活,2.0,△,専門科目,専門教養・学部共通,elective-required
SL-102,工業概論,2.0,△,専門科目,専門教養・学部共通,elective-required
SL-103,原子力汎論,2.0,△,専門科目,専門教養・学部共通,elective-required
SL-104,Direct Current Electrical,2.0,,専門科目,専門教養・学部共通,elective
SL-105,知的財産,2.0,,専門科目,専門教養・学部共通,elective
SL-201,量子力学入門,2.0,,専門科目,専門教養・学部共通,elective
SL-202,相対論入門,2.0,,専門科目,専門教養・学部共通,elective
SL-203,電気化学(a),1.0,,専門科目,専門教養・学部共通,elective
SL-204,電気化学(b),1.0,,専門科目,専門教養・学部共通,elective
SL-205,探究の進め方,2.0,,専門科目,専門教養・学部共通,elective
SL-302,電気電子通信計測応用,2.0,,専門科目,専門教養・学部共通,elective
